"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs72823641-<b>T</b>,"1 x 10-78",,0.8633,1.1645511,'-,[1.15-1.18],"IL1RL1, IL18R1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:102319699
rs28407950-<b>C</b>,"7 x 10-70",,0.7564,1.1201972,'-,[1.11-1.13],"HLA-DQB1, HLA-DQA1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:32658571
rs28690449-<b>C</b>,"2 x 10-64",,0.7986,1.1238481,'-,[1.11-1.14],"TLR10, TLR1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,4:38787511
rs1438673-<b>C</b>,"7 x 10-62",,0.5166,1.0948106,'-,[1.08-1.11],"AC010468.2, WDR36","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:111131801
rs34290285-<b>G</b>,"6 x 10-58",,0.7452,1.1064395,'-,[1.09-1.12],D2HGDH,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:241759225
rs12935657-<b>G</b>,"6 x 10-45",,0.7558,1.0945709,'-,[1.08-1.11],CLEC16A,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,16:11125184
rs6881270-<b>C</b>,"3 x 10-44",,0.7254,1.0895619,'-,[1.08-1.1],IL7R,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:35878993
rs1775553-<b>C</b>,"1 x 10-31",,0.5768,1.0666666,'-,[1.06-1.08],"LINC00709, AC044784.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,10:9012362
rs3024971-<b>T</b>,"5 x 10-30",,0.893,1.1072971,'-,[1.09-1.13],STAT6,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:57099944
rs891058-<b>G</b>,"3 x 10-29",,0.7053,1.069862,'-,[1.06-1.08],LINC00299,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:8302417
rs117710327-<b>C</b>,"3 x 10-25",,0.93779,1.1282861,'-,[1.1-1.15],"SLC7A10, AC008738.6","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,19:33235672
rs1214598-<b>G</b>,"8 x 10-25",,0.6147,1.0596588,'-,[1.05-1.07],"CD247, AL359962.3","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:167457187
rs10519068-<b>G</b>,"3 x 10-24",,0.8722,1.0874293,'-,[1.07-1.1],RORA,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,15:60776505
rs905670-<b>G</b>,"8 x 10-23",,0.648,1.0577533,'-,[1.05-1.07],BACH2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:90248783
rs11213941-<b>T</b>,"3 x 10-18",,0.7096,1.0538518,'-,[1.04-1.07],"LAYN, SIK2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:111563369
rs2961920-<b>A</b>,"3 x 10-17",,0.7653,1.0559661,'-,[1.04-1.07],MIR3142HG,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:160484499
rs479844-<b>G</b>,"3 x 10-17",,0.5547,1.0472301,'-,[1.04-1.06],"AP5B1, OVOL1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:65784486
rs4648883-<b>C</b>,"4 x 10-16",,0.5803,1.046244,'-,[1.04-1.06],RUNX3,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:24934712
rs7725052-<b>T</b>,"2 x 10-14",,0.6082,1.0435146,'-,[1.03-1.05],"AC114977.1, AC114977.2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:40487168
rs449454-<b>G</b>,"9 x 10-14",,0.6168,1.0427529,'-,[1.03-1.05],NDFIP1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:142153497
rs653178-<b>T</b>,"3 x 10-14",,0.5173,1.0423181,'-,[1.03-1.05],ATXN2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:111569952
rs10910095-<b>G</b>,"4 x 10-13",,0.8659,1.0602206,'-,[1.04-1.08],"AL139246.2, AL139246.3","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:2579316
rs1940377-<b>G</b>,"8 x 10-13",,0.7895,1.0494281,'-,[1.04-1.06],"ETS1, LINC02098","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:128261371
rs3540-<b>G</b>,"2 x 10-13",,0.6767,1.0441684,'-,[1.03-1.06],IQGAP1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,15:90502176
rs4491851-<b>A</b>,"1 x 10-13",,0.5336,1.0417751,'-,[1.03-1.05],GLB1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:33042493
rs12440045-<b>C</b>,"2 x 10-13",,0.5279,1.0416667,'-,[1.03-1.05],"RTF1, ITPKA","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,15:41490486
rs113048054-<b>A</b>,"4 x 10-12",,0.93413,1.080497,'-,[1.06-1.1],"LINC01063, AC092933.2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:196616946
rs2689282-<b>C</b>,"5 x 10-12",,0.5203,1.0383137,'-,[1.03-1.05],SLC15A2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:121918956
rs9494883-<b>A</b>,"1 x 10-11",,0.96875,1.1149515,'-,[1.08-1.15],WAKMAR2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:137850329
rs6011033-<b>G</b>,"1 x 10-11",,0.7682,1.0454783,'-,[1.03-1.06],"RTEL1, RTEL1-TNFRSF6B","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,20:63691346
rs2139049-<b>G</b>,"2 x 10-11",,0.5012,1.0373445,'-,[1.03-1.05],PLCL1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:198022936
rs34210653-<b>G</b>,"2 x 10-10",,0.97875,1.1309658,'-,[1.09-1.17],ALOX15,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,17:4632019
rs16858573-<b>T</b>,"2 x 10-10",,0.8752,1.0546298,'-,[1.04-1.07],ARHGAP15,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:143118156
rs11685995-<b>C</b>,"2 x 10-10",,0.758,1.0415581,'-,[1.03-1.05],"CCL20, TDGF1P2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:227857292
rs61192126-<b>T</b>,"9 x 10-10",,0.709,1.0379905,'-,[1.03-1.05],"AC134508.1, RYBP","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:72345701
rs7240948-<b>C</b>,"3 x 10-10",,0.6013,1.03584,'-,[1.03-1.05],STARD6,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,18:54338086
rs6021268-<b>T</b>,"2 x 10-9",,0.93884,1.0715816,'-,[1.05-1.1],NFATC2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,20:51524602
rs59183580-<b>A</b>,"2 x 10-9",,0.8707,1.0503098,'-,[1.03-1.07],AP000820.2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:95692306
rs12365699-<b>G</b>,"1 x 10-9",,0.8349,1.0459157,'-,[1.03-1.06],"AP004609.1, CXCR5","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:118872577
rs12623041-<b>C</b>,"1 x 10-9",,0.6802,1.0364842,'-,[1.03-1.05],"SOCAR, MIR4435-2HG, AC017002.4, AC017002.3","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:111505565
rs1143633-<b>C</b>,"1 x 10-9",,0.6486,1.0362694,'-,[1.03-1.05],IL1B,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:112832890
rs230504-<b>C</b>,"2 x 10-9",,0.6437,1.0349823,'-,[1.02-1.05],NFKB1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,4:102560404
rs8086340-<b>G</b>,"7 x 10-9",,0.5355,1.032418,'-,[1.02-1.04],TNFRSF11A,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,18:62339745
rs697852-<b>?</b>,"7 x 10-8",,NR,1.0416667,'-,NR,ITPKB,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:226727033
rs3787184-<b>?</b>,"8 x 10-8",,NR,1.0386373,'-,NR,NFATC2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,20:51541298
rs2013724-<b>?</b>,"1 x 10-8",,NR,'-,'-,NR,"AL133163.2, AL133163.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,14:35387142
rs1057258-<b>?</b>,"3 x 10-7",,NR,1.0309278,'-,NR,INPP5D,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:233206983
rs13088318-<b>?</b>,"9 x 10-6",,NR,1.0204082,'-,NR,"FAM172BP, TRMT10C","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:101523907
rs13153019-<b>C</b>,"3 x 10-6",,NR,1.029,'-,NR,"LMAN2, RGS14","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:177355217
rs16922576-<b>C</b>,"1 x 10-7",,NR,1.032,'-,NR,JAK2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,9:5064193
rs7632381-<b>C</b>,"3 x 10-10",,0.4475,1.035,'-,[1.024-1.046],ZBTB38,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:141387221
rs6446685-<b>A</b>,"1 x 10-9",,0.3759,1.035,'-,[1.024-1.046],STX18-AS1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,4:4764538
rs10883723-<b>C</b>,"1 x 10-9",,0.3586,1.035,'-,[1.024-1.046],"ACTR1A, MFSD13A","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,10:102466075
rs10995245-<b>A</b>,"2 x 10-9",,0.3471,1.035,'-,[1.024-1.046],"AC024598.1, AC067752.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,10:62631615
rs7953139-<b>C</b>,"8 x 10-11",,0.4797,1.036,'-,[1.025-1.046],LRRC43,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:122177994
rs10468514-<b>G</b>,"6 x 10-11",,0.3984,1.037,'-,[1.026-1.047],"AC003070.2, ARHGAP27","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,17:45378874
rs2393717-<b>G</b>,"8 x 10-12",,0.4697,1.038,'-,[1.027-1.048],SPPL3,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:120782572
rs3813308-<b>G</b>,"1 x 10-11",,0.4352,1.038,'-,[1.028-1.049],TNFAIP8,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:119355086
rs2228145-<b>C</b>,"1 x 10-12",,0.4108,1.04,'-,[1.03-1.051],IL6R,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:154454494
rs12165508-<b>T</b>,"2 x 10-9",,0.2045,1.041,'-,[1.028-1.054],"TEF, AL008582.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,22:41423956
rs2070901-<b>T</b>,"6 x 10-12",,0.2699,1.043,'-,[1.031-1.056],FCER1G,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:161215268
rs2190097-<b>C</b>,"3 x 10-11",,0.2417,1.043,'-,[1.031-1.056],GSAP,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,7:77409628
rs3933376-<b>A</b>,"9 x 10-10",,0.1868,1.044,'-,[1.031-1.058],PTPRK,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:127970926
rs10912564-<b>T</b>,"1 x 10-13",,0.3047,1.045,'-,[1.033-1.057],TNFSF4,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:173201479
rs13277355-<b>A</b>,"6 x 10-13",,0.2728,1.045,'-,[1.033-1.057],"MYC, PVT1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,8:127765473
rs1950897-<b>C</b>,"3 x 10-13",,0.2869,1.045,'-,[1.033-1.057],RAD51B,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,14:68293424
rs6473228-<b>G</b>,"2 x 10-15",,0.3652,1.046,'-,[1.035-1.057],AC034114.2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,8:80387531
rs9549238-<b>A</b>,"1 x 10-11",,0.2128,1.046,'-,[1.033-1.059],"FOXO1, AL133318.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,13:40605184
rs12952581-<b>A</b>,"5 x 10-16",,0.3627,1.047,'-,[1.036-1.059],AC091180.6,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,17:49370984
rs9290877-<b>C</b>,"2 x 10-15",,0.3016,1.048,'-,[1.036-1.059],LPP,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:188724692
rs7650683-<b>C</b>,"2 x 10-15",,0.2994,1.048,'-,[1.036-1.06],LPP,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:188727995
rs12887759-<b>A</b>,"1 x 10-12",,0.2176,1.048,'-,[1.035-1.061],AL132801.2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,14:102772514
rs8126516-<b>A</b>,"1 x 10-9",,0.1445,1.048,'-,[1.033-1.063],RUNX1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,21:35080321
rs10244416-<b>C</b>,"2 x 10-20",,0.4879,1.052,'-,[1.041-1.063],"EEF1A1P27, ITGB8","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,7:20536128
rs4722758-<b>G</b>,"2 x 10-16",,0.1992,1.057,'-,[1.043-1.07],JAZF1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,7:28116987
rs1295685-<b>A</b>,"3 x 10-19",,0.1796,1.065,'-,[1.051-1.079],"IL13, TH2LCRR","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:132660753
rs1523643-<b>?</b>,"3 x 10-7",(AA),NR,'-,'-,'-,"FGF20, AC011586.2","Allergic rhinitis in asthma","allergic rhinitis, asthma",GCST002552,8:16931726
rs2070902-<b>T</b>,"6 x 10-19",,0.2524,1.05,'-,[1.04-1.06],FCER1G,"Allergic rhinitis","allergic rhinitis",GCST006409,1:161217875
rs111371454-<b>G</b>,"1 x 10-14",,0.2064,1.05,'-,[1.03-1.06],RTF1,"Allergic rhinitis","allergic rhinitis",GCST006409,15:41468419
rs12509403-<b>C</b>,"1 x 10-15",,0.6785,1.0416667,'-,[1.03-1.05],NFKB1,"Allergic rhinitis","allergic rhinitis",GCST006409,4:102604193
rs9648346-<b>G</b>,"3 x 10-14",,0.2158,1.05,'-,[1.03-1.06],JAZF1,"Allergic rhinitis","allergic rhinitis",GCST006409,7:28120494
rs35350651-<b>C</b>,"6 x 10-14",,0.4945,1.04,'-,[1.03-1.05],ATXN2,"Allergic rhinitis","allergic rhinitis",GCST006409,12:111469628
rs2519093-<b>T</b>,"3 x 10-16",,0.1957,1.05,'-,[1.04-1.07],ABO,"Allergic rhinitis","allergic rhinitis",GCST006409,9:133266456
rs62257549-<b>G</b>,"2 x 10-13",,0.7989,1.0526316,'-,[1.03-1.06],DCAF1,"Allergic rhinitis","allergic rhinitis",GCST006409,3:51488660
rs11677002-<b>T</b>,"7 x 10-13",,0.5486,1.0309278,'-,[1.03-1.04],AC104695.2,"Allergic rhinitis","allergic rhinitis",GCST006409,2:28391534
rs35597970-<b>?</b>,"5 x 10-18",,NR,1.04,'-,[1.03-1.05],"MFSD13A, ACTR1A","Allergic rhinitis","allergic rhinitis",GCST006409,10:102469301
rs2815765-<b>C</b>,"9 x 10-15",,0.6344,1.0416667,'-,[1.03-1.05],AL513166.1,"Allergic rhinitis","allergic rhinitis",GCST006409,1:72286547
rs11671925-<b>G</b>,"6 x 10-13",,0.8255,1.0526316,'-,[1.04-1.06],"AC008738.6, SLC7A10","Allergic rhinitis","allergic rhinitis",GCST006409,19:33227147
rs2461475-<b>C</b>,"4 x 10-11",,0.4727,1.03,'-,[1.02-1.04],SPPL3,"Allergic rhinitis","allergic rhinitis",GCST006409,12:120852371
rs6738964-<b>T</b>,"2 x 10-10",,0.7618,1.0416667,'-,[1.03-1.05],DAW1,"Allergic rhinitis","allergic rhinitis",GCST006409,2:227874419
rs10519067-<b>?</b>,"6 x 10-13",,NR,1.0752687,'-,[1.05-1.09],RORA,"Allergic rhinitis","allergic rhinitis",GCST006409,15:60776148
rs138050288-<b>?</b>,"7 x 10-12",,NR,1.04,'-,[1.03-1.05],RERE,"Allergic rhinitis","allergic rhinitis",GCST006409,1:8400188
rs7328203-<b>G</b>,"1 x 10-10",,0.4606,1.03,'-,[1.02-1.04],LINC02341,"Allergic rhinitis","allergic rhinitis",GCST006409,13:42414410
rs11169225-<b>A</b>,"5 x 10-10",,0.1924,1.04,'-,[1.03-1.05],"AC025154.2, AQP2","Allergic rhinitis","allergic rhinitis",GCST006409,12:49951888
rs141023293-<b>A</b>,"7 x 10-7",,0.0265,1.09,'-,[1.06-1.13],SIK3,"Allergic rhinitis","allergic rhinitis",GCST006409,11:116902201
rs201428899-<b>?</b>,"5 x 10-6",,NR,1.0309278,'-,[1.02-1.04],MIER1,"Allergic rhinitis","allergic rhinitis",GCST006409,1:66975990
rs34004019-<b>A</b>,"1 x 10-30",,0.7331,1.1235955,'-,[1.11-1.15],"HLA-DQA1, HLA-DQB1","Allergic rhinitis","allergic rhinitis",GCST006409,6:32658626
rs950881-<b>G</b>,"2 x 10-30",,0.8525,1.1363636,'-,[1.11-1.15],"IL18R1, IL1RL1","Allergic rhinitis","allergic rhinitis",GCST006409,2:102316052
rs5743618-<b>C</b>,"4 x 10-27",,0.7283,1.1111112,'-,[1.09-1.12],TLR1,"Allergic rhinitis","allergic rhinitis",GCST006409,4:38797027
rs1438673-<b>C</b>,"3 x 10-26",,0.4962,1.08,'-,[1.07-1.10],"AC010468.2, WDR36","Allergic rhinitis","allergic rhinitis",GCST006409,5:111131801
rs7936323-<b>A</b>,"7 x 10-24",,0.4806,1.08,'-,[1.06-1.09],"AP001189.2, EMSY","Allergic rhinitis","allergic rhinitis",GCST006409,11:76582714
rs2428494-<b>A</b>,"7 x 10-19",,0.4226,1.08,'-,[1.06-1.09],HLA-B,"Allergic rhinitis","allergic rhinitis",GCST006409,6:31354420
rs11644510-<b>C</b>,"2 x 10-17",,0.6291,1.0752687,'-,[1.05-1.09],"AC007220.1, CLEC16A","Allergic rhinitis","allergic rhinitis",GCST006409,16:11183501
rs12939457-<b>T</b>,"2 x 10-17",,0.5594,1.0638298,'-,[1.05-1.09],ZPBP2,"Allergic rhinitis","allergic rhinitis",GCST006409,17:39875935
rs148505069-<b>G</b>,"3 x 10-15",,0.333,1.07,'-,[1.05-1.08],"IL2, IL21","Allergic rhinitis","allergic rhinitis",GCST006409,4:122496409
rs13395467-<b>A</b>,"1 x 10-14",,0.7176,1.0638298,'-,[1.05-1.09],LINC00299,"Allergic rhinitis","allergic rhinitis",GCST006409,2:8311368
rs9775039-<b>A</b>,"2 x 10-14",,0.1642,1.08,'-,[1.06-1.10],"AL162384.1, GTF3AP1","Allergic rhinitis","allergic rhinitis",GCST006409,9:6177453
rs2164068-<b>T</b>,"4 x 10-14",,0.5087,1.0638298,'-,[1.04-1.08],PLCL1,"Allergic rhinitis","allergic rhinitis",GCST006409,2:198079128
rs2030519-<b>G</b>,"2 x 10-13",,0.4869,1.06,'-,[1.04-1.07],LPP,"Allergic rhinitis","allergic rhinitis",GCST006409,3:188402113
rs11256017-<b>T</b>,"3 x 10-12",,0.1823,1.07,'-,[1.05-1.09],"LINC00709, AC044784.1","Allergic rhinitis","allergic rhinitis",GCST006409,10:9001956
rs17294280-<b>G</b>,"6 x 10-12",,0.2484,1.07,'-,[1.05-1.09],SMAD3,"Allergic rhinitis","allergic rhinitis",GCST006409,15:67175947
rs7824993-<b>A</b>,"2 x 10-10",,0.3718,1.05,'-,[1.04-1.07],AC034114.2,"Allergic rhinitis","allergic rhinitis",GCST006409,8:80350661
rs9282864-<b>A</b>,"5 x 10-10",,0.6723,1.0638298,'-,[1.04-1.08],SULT1A1,"Allergic rhinitis","allergic rhinitis",GCST006409,16:28605987
rs9687749-<b>T</b>,"2 x 10-9",,0.4405,1.06,'-,[1.04-1.09],"RAD50, AC116366.3","Allergic rhinitis","allergic rhinitis",GCST006409,5:132619885
rs61977073-<b>G</b>,"6 x 10-9",,0.2228,1.06,'-,[1.04-1.08],TTC6,"Allergic rhinitis","allergic rhinitis",GCST006409,14:37682050
rs6470578-<b>T</b>,"4 x 10-8",,0.2818,1.05,'-,[1.03-1.07],PVT1,"Allergic rhinitis","allergic rhinitis",GCST006409,8:127797311
rs3787184-<b>A</b>,"5 x 10-8",,0.8124,1.0638298,'-,[1.04-1.08],NFATC2,"Allergic rhinitis","allergic rhinitis",GCST006409,20:51541298
rs7717955-<b>C</b>,"4 x 10-32",,0.7333,1.0638298,'-,[1.05-1.08],IL7R,"Allergic rhinitis","allergic rhinitis",GCST006409,5:35862739
rs63406760-<b>?</b>,"3 x 10-24",,NR,1.0638298,'-,[1.05-1.08],CDK2AP1,"Allergic rhinitis","allergic rhinitis",GCST006409,12:123258146
rs1504215-<b>G</b>,"2 x 10-18",,0.6575,1.0526316,'-,[1.04-1.06],"BACH2, AL132996.1","Allergic rhinitis","allergic rhinitis",GCST006409,6:90296508
rs28361986-<b>T</b>,"2 x 10-23",,0.8022,1.0638298,'-,[1.05-1.09],"SETP16, AP004609.4","Allergic rhinitis","allergic rhinitis",GCST006409,11:118822452
